https://doc.louisiana.gov/about-the-dpsc/annual-statistics/,,State Facilities,Local Facilities,Total
2016,Oct,"15,095",20220,"35,315"
2016,Nov,"15,174",19875,"35,049"
2016,Dec,"15,162",19504,"34,666"
2017,Jan,"15,191","19,549","34,740"
2017,Feb,"15,098","19,320","34,418"
2017,Mar,"14,926","19,690","34,616"
2017,Apr,"14,893","19,639","34,532"
2017,May,"14,868","19,819","34,687"
2017,Jun,"14,933","19,542","34,475"
2017,Jul,"14,882","19,540","34,422"
2017,Aug,"14,869","19,034","33,903"
2017,Sep,"15,725","18,211","33,936"
2017,Oct,"15,579","19,235","34,814"
2017,Nov,"15,188","17,819","33,007"
2017,Dec,"15,152","17,594","32,746"
2018,Jan,"15,210","17,339","32,549"
2018,Feb,"15,218","17,256","32,474"
2018,Mar,"15,219","17,055","32,274"
2018,Apr,"15,107","17,281","32,388"
2018,May,"15,097","17,262","32,359"
2018,Jun,"15,072","17,191","32,263"
2018,Jul,"14,928","16,789","31,717"
2018,Aug,"14,992","16,778","31,770"
2018,Sep,"14,980","16,730","31,710"
2018,Oct,"14,981","16,683","31,664"
2018,Nov,"14,936","16,513","31,449"
2018,Dec,"14,880","16,543","31,423"
2019,Jan,"14,794","16,252","31,046"
2019,Feb,"14,930","16,160","31,090"
2019,Mar,"14,904","16,098","31,002"
2019,Apr,"14,955","15,700","30,655"
2019,May,"14,938","16,102","31,040"
2019,Jun,"15,015","15,873","30,888"
2019,Jul,"15,043","15,668","30,711"
2019,Aug,"15,032","15,485","30,517"
2019,Sep,"15,052","15,599","30,651"
2019,Oct,"14,984","15,841","30,825"
2019,Nov,"15,042","15,734","30,776"
2019,Dec,"15,042","15,538","30,580"
2020,Jan,"15,019","15,321","30,340"
2020,Feb,"15,067","15,410","30,477"
2020,Mar,"15,049","15,078","30,127"
2020,Apr,"14,956","14,167","29,123"
2020,May,"14,775","13,320","28,095"
2020,Jun,"14,528","13,051","27,579"
2020,Jul,"14,433","13,106","27,539"
2020,Aug,"14,313","12,968","27,281"
2020,Sep,"14,165","13,161","27,326"
2020,Oct,"14,134","12,873","27,007"
2020,Nov,"14,052","12,581","26,633"
2020,Dec,"13,903","12,349","26,252"
2021,Jan,"13,650","12,833","26,483"
2021,Feb,"13,560","12,895","26,455"
2021,Mar,"13,545","12,859","26,404"
2021,Apr,"13,446","12,925","26,371"
2021,May,"13,378","12,976","26,354"
2021,Jun,"13,422","12,767","26,189"
Below this line is DOC projections,,,,
2021,Jul,"15,565","14,751","30,316"
2021,Aug,"15,565","14,720","30,285"
2021,Sep,"15,565","14,690","30,255"
2021,Oct,"15,565","14,662","30,227"
2021,Nov,"15,565","14,635","30,200"
2021,Dec,"15,565","14,611","30,176"
2022,Jan,"15,565","14,589","30,154"
2022,Feb,"15,565","14,565","30,130"
2022,Mar,"15,565","14,542","30,107"
2022,Apr,"15,565","14,522","30,087"
2022,May,"15,565","14,501","30,066"
2022,Jun,"15,565","14,482","30,047"
2022,Jul,"15,565","14,462","30,027"
2022,Aug,"15,565","14,444","30,009"
2022,Sep,"15,565","14,426","29,991"
2022,Oct,"15,565","14,410","29,975"
2022,Nov,"15,565","14,394","29,959"
2022,Dec,"15,565","14,379","29,944"
2023,Jan,"15,565","14,365","29,930"
2023,Feb,"15,565","14,351","29,916"
2023,Mar,"15,565","14,337","29,902"
2023,Apr,"15,565","14,325","29,890"
2023,May,"15,565","14,312","29,877"
2023,Jun,"15,565","14,301","29,866"
2023,Jul,"15,565","14,289","29,854"
2023,Aug,"15,565","14,278","29,843"
2023,Sep,"15,565","14,268","29,833"
2023,Oct,"15,565","14,258","29,823"
2023,Nov,"15,565","14,249","29,814"
2023,Dec,"15,565","14,239","29,804"
