,count,involves_gun_possession,involves_discharging_a_gun,is_a_felony_dangerous_to_human_life
KIDNAPPING-GENERALLY,9,,,
VEHICULAR HOMICIDE,9,,,TRUE?
THEFT OF SERVICES I,8,,,
"OFFENSES-FORGERY/FRAUD (""C"" FELONY)",8,,,
ATT TO COMMIT CONT SUB/INVOLVE A FEL,8,,,
ASSAULT/INTENT RAVISH,8,,,TRUE
ATTEMPTED KIDNAPPING II,8,,,
PERJURY I,8,,,
ATTEMPTED RAPE II,8,,,
ATTEMPTED ARSON,7,,,
ARSON I (OLD CODE/ < JAN 1980),7,,,TRUE
THEFT OF LOST PROPERTY I,7,,,
THROW/SHOOT INTO OCCUPIED VEHICLE,7,,,TRUE
ASSAULT OFFICER-DEADLY INSTRUMENT,6,,,
"OFFENSES-FORGERY/FRAUD (""B"" FELONY)",6,,,
PROMOTING PROSTITUTION I,6,,,
CHILD MOLESTATION,6,,,TRUE
MANSLAUGHTER I,5,,,TRUE
DISPOSING PROPERTY/ANOTHER INTEREST,5,,,
TRAF OPIUM/MORPHINE/HEROIN > 56 GM,5,,,
BRING STOLEN PROP INTO STATE II,5,,,
BRING STOLEN PROP INTO STATE,5,,,
OBSTRUCTION OF JUSTICE < 2001-312,5,,,
TRAF OPIUM/MORPHINE/HEROIN 28 - 56 GM,5,,,
POSS PRECURSOR CHEM/NO LICENSE,5,,,
"OFFENSES PROPERTY-THEFT (""C"" FELONY)",5,,,
THEFT OF SERVICES III - CLASSD,5,,,
TRAF COCAINE 1 - 10 KG,4,,,
CARNAL KNOWLEDGE/UNDER 12,4,,,TRUE
DISPLAY OBSCENITY OF PERSON UNDER 17,4,,,
TRAF PHENCYCLIDINE 4 - 14 GM,4,,,
CONSPIRE COMMIT CERTAIN FELONIES,4,,,
CRIMINAL POSS OF EXPLOSIVES,4,,,
SEXUAL ABUSE II,4,,,TRUE
POSS MARIJUANA II,3,,,
"OFFENSES PROPERTY-THEFT (""B"" FELONY)",3,,,
CARNAL KNOWLEDGE/OVER 12-UNDER 16,3,,,
FALSE PRETENSE,3,,,
CONT SUB CRIM SOLICT/INVOLVE B FEL,3,,,
UNAUTH USE VEH/GENERAL,3,,,
TRAF COCAINE 500 G - 1 KG,3,,,
EXTORTION I,3,,,
CONSPIRACY TO COMMIT ROBBERY II,3,,,
CREDIT CARD THEFT,3,,,
CRIMINAL TAMPERING I,2,,,
ARSON III (OLD CODE/ < JAN 1980),2,,,
ARSON II (OLD CODE/ < JAN 1980),2,,,TRUE
TRAF CANNABIS 100 - 500 LBS,2,,,
TRAF OPIUM/MORPHINE/HEROIN < 14 GRAMS,2,,,
VIO OF SECURITIES ACT OF ALABAMA,2,,,
BRIBING A WITNESS,2,,,
POSS OR RETAIL OF RECORDED DEVICE,2,,,
PROMOTING PROSTITUTION II,2,,,
EMBEZZLEMENT,2,,,
MURDER BY LIFE SENTENCE CONVICT,2,,,TRUE
AIDING PRISONERS TO ESCAPE-FELONS,2,,,
TRAF HYDRO 500 - 1000 CAPS,1,,,
MAYHEM,1,,,
INTERFERENCE WITH CUSTODY,1,,,
TRAF LSD 04-14 GRAMS,1,,,
ESCAPE OF CONVICT FROM JAIL OR HL,1,,,
"TRAF HYDRO 4000 - 10,000 CAPS",1,,,
SALE/DEL DRUG PARA > 18 YR TO < 18 YR,1,,,
CHALLENGING/ACCEPTING/DUELS,1,,,
FAIL TO RETURN VEH,1,,,
SEXUAL MISCONDUCT,1,,,
VIO PROHIBITION LAW/OVER 5 GALLONS,1,,,
HARASSMENT,1,,,
THEFT OF PROPERTY III,1,,,
TRAF AMPHETAMINES 1 - 10 KG,1,,,
"OFFENSES PROPERTY-THEFT (""A"" FELONY)",1,,,
ISSUING WORTHLESS CHECKS,1,,,
TRAF CANNABIS 500 - 1000 LBS,1,,,
CRIME AGAINST NATURE/SODOMY/BEAST,1,,,
CONT SUB CRIM SOLICT/INVOLVE A FEL,1,,,
EXTORTION II,1,,,
CRIM POSS OF FORGED INST III,1,,,
PROMOTING PRISON CONTRABAND III,1,,,
RECKLESS ENDANGERMENT,1,,,
BIGAMY (OLD CODE/PRIOR JAN 1980),1,,,
FALSE OATH BY TAXPAYER,1,,,
THEFT OF PROPERTY II-SHOPLIFTING-CLASS C,1,,,
TRAF COCAINE > 10 KG,1,,,
